ID,latitude,longitude,NAME,Review_num,Rating,Categories,Price
0MbnNM2IvNWMQ1YsPfDTjQ,34.0921328,-118.3805803,"The Butcher, The Baker, The Cappuccino Maker",2923,4,New American,$$
8SO_kWUmfX-rFZPEA6t09Q,34.10146406,-118.3283488,MainRō,322,3.5,Supper Clubs,$$$$
ggSWm7VIo3pKxHFv7Qxoiw,34.064012,-118.300574,Chuncheon Dakgalbi Donghae Makguksu 2,70,4.2,Korean,
fxeuGYnoRWwm5aGDg1FRJA,34.0499476,-118.2400446,Marugame Monzo,4706,4.4,"Japanese, Noodles, Asian Fusion",$$
2t-FTIdnJC1gDjpims7oMQ,34.02479918,-118.2778566,El Huero,1308,3.8,"Mexican, Food Stands",$$
23Qrcz2i9e2e8MstUIIO0A,34.0621807,-118.348153,Yuko Kitchen Miracle Mile,1935,4.3,Japanese,$$
8lzAX-Uc4o7dwaXnulAFIQ,34.06365,-118.30844,Liu's Cafe,192,4.5,"Cafes, Chinese, Bakeries",$$
ld3O8sfn0-z-JKBJdofz2g,34.101802,-118.335394,Musso & Frank Grill,2335,4.2,"Steakhouses, American, Bars",$$$
pLP4joJ99UpIQpNh6kxZFw,34.04019,-118.233569,Girl & The Goat,1753,4.4,New American,
fLs0ykxe4Iw1_3htMWqcTQ,34.10220291,-118.2916403,Mirate,582,4.2,"Mexican, Cocktail Bars, Venues & Event Spaces",
Gcu1t8hJv9D_CKDhO4-rSw,34.03265,-118.36452,Open Face Food Shop,149,4.8,"Sandwiches, Scandinavian, Burgers",$$
WJzD72vgqjH7BHE0UF6N4g,34.10453973,-118.2871123,Tu Madre - Los Feliz,309,4.2,"Tacos, Cocktail Bars",
DJek3FUewBzMc0gS-Gms9w,34.12384,-118.26868,Morrison Atwater Village,7759,4.7,"Gastropubs, Burgers, Salad",$$
LVjdy81Zd6RXxVRB_-G0pg,34.07554696,-118.2552598,KushiBa,3,4.3,"Bars, Izakaya",
ztNZZHKmJOyVXM32WiyXcQ,34.08126,-118.38266,Zinqué,1045,3.8,"French, Wine Bars, Breakfast & Brunch",$$
TkFEKhsCixPWlShULKvMdQ,34.047056,-118.256544,Bottega Louie,18755,4.1,"Italian, Desserts, Breakfast & Brunch",$$
P2-J1zY5rKOUsOQ8KryuZQ,34.12521456,-118.2905673,Wolvesmouth at the Wolvesden,176,4.8,Pop-Up Restaurants,$$$$
bXfIgNNhPrfuvtQhCy7KMQ,34.0908449,-118.34645,Jones,1265,4,"Italian, Pizza, Cocktail Bars",$$
fntgJytgOwc_QKEWY1WW9Q,34.08737,-118.342611,Gigi's,129,3.8,French,
0fljf5R-y6gmsiLKnxiGXg,34.08290519,-118.376854,Norma,58,4.3,"New American, Seafood, Cocktail Bars",
7e9oi3zq_6pP_LU9YPEXLg,34.0891889,-118.3329546,Rao's Hollywood,713,4.3,Italian,$$$
zHJgydeeE0ciaMeGwu-HmA,34.06362763,-118.3993802,Matu,473,4.4,"Steakhouses, Cocktail Bars",$$$$
uMY7uC9m7HxRNAZGkjtdbA,34.098236,-118.346585,Bossa Nova Brazilian Cuisine,3704,3.7,"Brazilian, Pizza, Sandwiches",$$
wo3wnj3pMSOPkzqpvbey-g,34.04151,-118.23261,Bavel,2494,4.4,Middle Eastern,$$$
PLfZ1ACQRAC1bgOTzS5rBA,34.091274,-118.36317,Tu Madre - West Hollywood,1011,4.1,"Mexican, Breakfast & Brunch, Cocktail Bars",$$
jjy2b_GQQmnfFKqK3mnaQQ,34.02420981,-118.3818991,Vespertine,306,4.4,New American,$$$$
OsLpB7cWHwsNyiH8-gedoA,34.10196,-118.30475,Hollywood Thai,697,3.8,Thai,$$
7O1ORGY36A-2aIENyaJWPg,34.061373,-118.239423,Howlin' Ray's,7675,4.7,"Southern, Chicken Shop, American",$$
ALF79fQM2QhMfsBhwPATng,34.09100091,-118.3631456,Employees Only,468,4.1,"Cocktail Bars, New American, Lounges",$$$
