OID_,GEOID_CT2010,MEAN_ADI_NATRANK,MEDIAN_ADI_NATRANK,MEAN_ADI_STATERNK,MEDIAN_ADI_STATERNK,Shape_Length,Shape_Area,GEOID_CT2010_txt
1831,6037219010.000000000000000,23.000000000000000,23.000000000000000,6.500000000000000,6.500000000000000,0.029317288724075,0.000043034330180,06037219010
1832,6037219020.000000000000000,25.000000000000000,25.000000000000000,6.666666666666667,7.000000000000000,0.034450856901536,0.000070912764941,06037219020
1833,6037219300.000000000000000,21.666666666666668,23.000000000000000,6.000000000000000,6.000000000000000,0.032986914048754,0.000063626252086,06037219300
1834,6037219500.000000000000000,15.500000000000000,15.500000000000000,5.000000000000000,5.000000000000000,0.032286149308403,0.000054425190937,06037219500
1835,6037219700.000000000000000,24.333333333333332,21.000000000000000,6.333333333333333,6.000000000000000,0.049996493502077,0.000106644114045,06037219700
1836,6037219800.000000000000000,27.000000000000000,24.000000000000000,7.333333333333333,7.000000000000000,0.029019245529762,0.000043550584282,06037219800
1837,6037219901.000000000000000,22.000000000000000,19.000000000000000,6.333333333333333,6.000000000000000,0.030163465938154,0.000051238661331,06037219901
1838,6037219902.000000000000000,20.666666666666668,21.000000000000000,6.000000000000000,6.000000000000000,0.040681953964940,0.000078174343436,06037219902
1839,6037220000.000000000000000,24.000000000000000,25.000000000000000,6.600000000000000,7.000000000000000,0.038564238583238,0.000094862155484,06037220000
1840,6037220100.000000000000000,13.666666666666666,13.000000000000000,4.333333333333333,4.000000000000000,0.054398299982452,0.000095697431549,06037220100
1841,6037221110.000000000000000,14.000000000000000,14.000000000000000,4.500000000000000,4.500000000000000,0.021532652659909,0.000022869305726,06037221110
1842,6037221120.000000000000000,16.000000000000000,16.000000000000000,5.000000000000000,5.000000000000000,0.023157793612532,0.000030998374514,06037221120
1843,6037221210.000000000000000,14.500000000000000,14.500000000000000,5.000000000000000,5.000000000000000,0.024904425852755,0.000035030068742,06037221210
1844,6037221220.000000000000000,35.000000000000000,35.000000000000000,8.000000000000000,8.000000000000000,0.031866485535043,0.000064379541043,06037221220
