OBJECTID,CT20,LABEL,Shape__Area,Shape__Length
200,123520,1235.20,748427.0234375,4606.2880835373
201,123601,1236.01,2244634.78515625,6757.8147570891
202,123602,1236.02,1359008.74609375,5238.36126317812
203,123700,1237.00,1395176.5546875,4836.78876929333
204,123800,1238.00,1889634.7109375,6444.09266479379
205,123901,1239.01,1891589.52734375,5545.04918447332
206,123902,1239.02,973134.51171875,4315.58657118431
207,124000,1240.00,1976781.70703125,6155.17531927906
208,124102,1241.02,950873.79296875,3900.29300566837
209,124103,1241.03,474619.23828125,2920.53854074984
210,124104,1241.04,475299.69921875,2922.31100006191
211,124105,1241.05,475401.29296875,2922.8900435244
212,124201,1242.01,1424823.5625,4875.67620793329
213,124203,1242.03,474939.30078125,2922.05257478572
214,124204,1242.04,475041.390625,2921.24448971267
215,124300,1243.00,1305002.14453125,4631.8076477509
216,124400,1244.00,1428867.56640625,4869.71468719181
217,124500,1245.00,1183221.40625,5184.92241165907
218,124600,1246.00,1639929.74609375,5274.2022430024
219,124700,1247.00,1994142.578125,6584.05886458922
220,124902,1249.02,495846.05078125,2971.83405051346
221,124903,1249.03,455999.7109375,2879.17980523497
222,125101,1251.01,951544.57421875,3901.6328263752
223,125102,1251.02,950081.578125,3898.81743921301
224,125200,1252.00,1909052.2109375,5854.57679290418
225,125310,1253.10,1543498.6015625,7093.41333584081
226,125321,1253.21,379656.44140625,2537.25897651411
227,125322,1253.22,546508.89453125,3266.2609668696
228,125402,1254.02,1073073.66015625,4162.27422961816
229,125403,1254.03,246472.87109375,2226.22342505972
230,125404,1254.04,335961.15625,3170.15633051164
231,125501,1255.01,679524.19140625,3402.30897547157
232,125502,1255.02,765542.8671875,3548.85613040304
233,125600,1256.00,1496642.71875,5446.77216912749
234,127102,1271.02,1259425.828125,4540.47553364792
235,127103,1271.03,419241.1484375,2784.63151603726
236,127104,1271.04,1037402.93359375,4159.67498807831
237,127210,1272.10,2259349.25,7256.47018191858
238,127220,1272.20,956970.8984375,3910.82791933911
239,127300,1273.00,1552619.44140625,5562.35557550916
240,127400,1274.00,3197980.54296875,9274.76103321647
241,127520,1275.20,533254.33984375,2948.41904089605
242,127603,1276.03,632154.1328125,3584.93525426342
243,127604,1276.04,636802.1875,3639.81713049681
244,127605,1276.05,950329.81640625,3899.34305616194
245,127606,1276.06,796623.515625,3591.63996405301
246,127711,1277.11,1388379.37109375,5000.71294648106
247,127712,1277.12,835293.40234375,3625.4959280011
248,127803,1278.03,939083.31640625,3882.36076782856
249,127804,1278.04,935122.625,3868.21524019293
